Target,Prime,Tick(s),RT,LD,SD,LD+SD,LD*SD,Target_Length,Prime_Length,Target_Frequency,Prime_Frequency
nave,navetta,4,opaque,517.445,0.00146735222109,0.444698796918,0.446166149139,0.000652529767376,4,7,12547,929
ombra,ombrello,4,opaque,523.9523,0.00329784440708,0.639343840267,0.642641684674,0.00210845650783,5,8,2707,513
orma,ormeggio,4,opaque,612.0261,0.0133052139025,0.801229654099,0.814534868001,0.0106605319328,4,8,40,27
oste,ostaggio,4,opaque,571.5717,0.0133052139025,0.691141243017,0.70444645692,0.0091957820752,4,8,133,1626
pieta,pietanza,4,opaque,574.8394,0.000457896447836,0.511995558839,0.512453455287,0.0002344409477,5,8,32,44
pigna,pignolo,4,opaque,603.68365,0.00329784440708,0.650021017634,0.653318862041,0.00214366817749,5,7,58,110
porco,porcino,4,opaque,524.4002,0.00183318210983,0.544284829534,0.546118011644,0.000997773212152,5,7,1594,5
pulce,pulcino,4,opaque,518.7713,0.00338910496265,0.542369259094,0.545758364056,0.00183814634758,5,7,163,145
quiete,quietanza,4,opaque,626.5127,0.000480774761932,0.583504374347,0.583985149109,0.000280534176663,6,9,320,2
ramo,ramino,4,opaque,595.6045,0.0106405363853,0.745552052158,0.756192588544,0.00793307373815,4,6,647,35
rete,retaggio,4,opaque,543.5152,0.00747214202471,0.889943187732,0.897415329757,0.00664978189265,4,8,2960,114
retta,rettile,4,opaque,561.4781,0.00333697264645,0.844298092145,0.847635064791,0.00281739963893,5,7,2389,128
ricetta,ricettazione,4,opaque,570.4498,2.46950032919e-05,0.43713487316,0.437159568163,1.07950471317e-05,7,12,1343,36
salmo,salmone,4,opaque,561.4738,0.000457896447836,0.616245152278,0.616703048726,0.000282176466224,5,7,69,495
scalpo,scalpello,4,opaque,556.27505,0.00064674536627,0.536335240833,0.536981986199,0.000346872331776,6,9,146,78
scontro,scontrino,4,opaque,541.219,9.15625144985e-05,0.564274251718,0.564365814233,5.16663693541e-05,7,9,1168,253
secchio,secchione,4,opaque,556.14635,2.31602107609e-05,0.327904951463,0.327928111674,7.59434778543e-06,7,9,672,215
sosta,sostanza,4,opaque,580.60815,0.000480422799767,0.813503349786,0.813983772586,0.000390825556924,5,8,811,1105
spunto,spuntino,4,opaque,579.8809,0.000572330957623,0.555508151219,0.556080482177,0.000317934512154,6,8,159,475
stiva,stivale,4,opaque,612.0046,0.000457896447836,0.541915820186,0.542373716634,0.000248141329089,5,7,310,288
tacco,tacchino,4,opaque,558.3542,0.00308165318471,0.525461042921,0.528542696106,0.00161928869636,5,8,291,1069
tassa,tassello,4,opaque,558.54,0.00187806655518,0.774465223986,0.776343290541,0.00145449723532,5,8,276,46
